run_id,seed,floor,floor_type,steps_moved,encounters,battles,battles_won,battles_fled,hp_before,hp_after,mp_before,mp_after,xp_gained,gold_gained,level_before,level_after,medicinal_herb_use_count,potion_use_count,dawn_chalice_use_count,medicinal_herb_remain_after,potion_remain_after,chalice_remain_after,skill_use_count,recovery_skill_use_count,total_damage_dealt,total_damage_taken,total_battle_turns,death_flag,clear_flag,next_floor_flag,floor1_town_uses_cumulative,notes
5,12349,1,Normal,27,2,2,2,0,27,27,0,0,40,0,1,1,4,3,0,15,3,3,0,0,56,0,12,0,1,1,3,floor1_town
5,12349,2,Normal,17,2,2,1,0,27,0,0,0,20,0,1,1,1,3,3,17,0,0,0,0,28,27,12,1,0,0,3,party wiped
6,12350,1,Normal,35,4,4,4,0,27,27,0,0,80,0,1,1,7,8,3,15,3,3,0,0,112,0,24,0,1,1,5,floor1_town
6,12350,2,Normal,37,3,3,3,0,27,23,0,3,60,0,1,2,1,3,3,17,0,0,0,0,84,11,11,0,1,1,5,+1 levelup
6,12350,3,Normal,35,3,3,3,0,23,26,3,3,60,0,2,2,4,0,0,16,0,0,0,0,84,-3,15,0,1,1,5,
6,12350,4,Normal,29,1,1,1,0,26,34,3,3,20,0,2,2,3,0,0,16,0,0,0,0,28,-8,7,0,1,1,5,
6,12350,5,Normal,30,2,2,2,0,34,23,3,3,40,0,2,2,2,0,0,17,0,0,0,0,56,11,7,0,1,1,5,
6,12350,6,Normal,25,3,3,3,0,23,42,3,5,60,0,2,3,2,0,0,15,0,0,0,0,84,0,8,0,1,1,5,+1 levelup
6,12350,7,Normal,40,5,5,5,0,42,24,5,5,100,0,3,3,3,0,0,12,0,0,0,0,140,18,21,0,1,1,5,
6,12350,8,Normal,37,4,4,4,0,24,36,5,5,80,0,3,3,2,0,0,10,0,0,0,0,112,-12,13,0,1,1,5,
6,12350,9,Normal,30,4,4,4,0,36,28,5,5,80,0,3,3,2,0,0,8,0,0,0,0,112,8,13,0,1,1,5,
6,12350,10,Normal,31,3,3,3,0,28,41,5,7,60,0,3,4,2,0,0,6,0,0,0,0,84,18,16,0,1,1,5,+1 levelup
7,12351,1,Normal,28,3,3,3,0,27,27,0,0,60,0,1,1,3,6,0,15,3,3,0,0,84,0,13,0,1,1,4,floor1_town
7,12351,2,Normal,31,4,4,4,0,27,16,0,2,80,0,1,2,4,3,3,14,0,0,0,0,112,18,19,0,1,1,4,+1 levelup
7,12351,3,Normal,33,4,4,4,0,16,16,2,2,80,0,2,2,4,0,0,13,0,0,0,0,112,0,17,0,1,1,4,
7,12351,4,Normal,32,4,4,4,0,16,41,2,3,80,0,2,3,9,0,0,7,0,0,0,0,112,-18,22,0,1,1,4,+1 levelup
7,12351,5,Normal,40,5,5,5,0,41,25,3,3,100,0,3,3,3,0,0,7,0,0,0,0,140,16,15,0,1,1,4,
7,12351,6,Normal,35,5,5,5,0,25,41,3,3,100,0,3,3,4,0,0,3,0,0,0,0,140,-16,15,0,1,1,4,
7,12351,7,Normal,36,2,2,2,0,41,30,3,3,40,0,3,3,1,0,0,2,0,0,0,0,56,11,5,0,1,1,4,
7,12351,8,Normal,27,2,2,2,0,30,25,3,3,40,0,3,3,2,0,0,0,0,0,0,0,56,5,8,0,1,1,4,
7,12351,9,Normal,16,3,3,0,2,25,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,25,3,1,0,0,4,party wiped; flee×2
8,12352,1,Normal,36,3,3,3,0,27,27,0,0,60,0,1,1,3,5,1,15,3,3,0,0,84,0,16,0,1,1,4,floor1_town
8,12352,2,Normal,27,1,1,1,0,27,27,0,0,20,0,1,1,0,1,0,18,2,3,0,0,28,0,2,0,1,1,4,
8,12352,3,Normal,36,3,3,3,0,27,36,0,3,60,0,1,2,1,2,3,20,0,0,0,0,84,0,14,0,1,1,4,+1 levelup
8,12352,4,Normal,40,4,4,4,0,36,25,3,3,80,0,2,2,7,0,0,16,0,0,0,0,112,11,24,0,1,1,4,
8,12352,5,Normal,25,3,3,3,0,25,25,3,3,60,0,2,2,2,0,0,17,0,0,0,0,84,0,8,0,1,1,4,
8,12352,6,Normal,33,5,5,5,0,25,26,3,6,100,0,2,3,4,0,0,13,0,0,0,0,140,6,18,0,1,1,4,+1 levelup
8,12352,7,Normal,37,3,3,3,0,26,43,6,6,60,0,3,3,3,0,0,10,0,0,0,0,84,-17,12,0,1,1,4,
8,12352,8,Normal,30,4,4,4,0,43,38,6,6,80,0,3,3,1,0,0,9,0,0,0,0,112,5,10,0,1,1,4,
8,12352,9,Normal,37,5,5,5,0,38,51,6,8,100,0,3,4,2,0,0,7,0,0,0,0,140,9,12,0,1,1,4,+1 levelup
8,12352,10,Normal,30,2,2,2,0,51,24,8,8,40,0,4,4,0,0,0,7,0,0,0,0,56,27,5,0,1,1,4,
9,12353,1,Normal,28,2,2,2,0,27,27,0,0,40,0,1,1,2,5,0,15,3,3,0,0,56,0,11,0,1,1,3,floor1_town
9,12353,2,Normal,27,3,3,3,0,27,34,0,1,60,0,1,2,5,3,3,13,0,0,0,0,84,0,18,0,1,1,3,+1 levelup
9,12353,3,Normal,38,3,3,3,0,34,34,1,1,60,0,2,2,5,0,0,11,0,0,0,0,84,0,18,0,1,1,3,
9,12353,4,Normal,32,5,5,5,0,34,23,1,1,100,0,2,2,1,0,0,13,0,0,0,0,140,11,12,0,1,1,3,
9,12353,5,Normal,33,5,5,5,0,23,26,1,4,100,0,2,3,6,0,0,10,0,0,0,0,140,5,24,0,1,1,3,+1 levelup
9,12353,6,Normal,29,2,2,2,0,26,42,4,4,40,0,3,3,1,0,0,9,0,0,0,0,56,-16,4,0,1,1,3,
9,12353,7,Normal,33,3,3,3,0,42,19,4,4,60,0,3,3,2,0,0,7,0,0,0,0,84,23,12,0,1,1,3,
9,12353,8,Normal,25,2,2,2,0,19,42,4,4,40,0,3,3,2,0,0,5,0,0,0,0,56,-23,6,0,1,1,3,
9,12353,9,Normal,36,2,2,2,0,42,24,4,4,40,0,3,3,1,0,0,4,0,0,0,0,56,18,8,0,1,1,3,
9,12353,10,Normal,30,4,4,4,0,24,33,4,7,80,0,3,4,3,0,0,1,0,0,0,0,112,7,13,0,1,1,3,+1 levelup
10,12354,1,Normal,37,2,2,2,0,27,27,0,0,40,0,1,1,1,6,3,15,3,3,0,0,56,0,15,0,1,1,3,floor1_town
10,12354,2,Normal,15,3,3,2,0,27,0,0,0,40,0,1,1,2,3,3,16,0,0,0,0,65,27,16,1,0,0,3,party wiped
11,12355,1,Normal,29,3,3,3,0,27,27,0,0,60,0,1,1,6,9,0,15,3,3,0,0,84,0,19,0,1,1,4,floor1_town
11,12355,2,Normal,25,3,3,3,0,27,24,0,3,60,0,1,2,4,3,3,14,0,0,0,0,84,11,22,0,1,1,4,+1 levelup
11,12355,3,Normal,31,4,4,4,0,24,19,3,3,80,0,2,2,2,0,0,15,0,0,0,0,112,5,10,0,1,1,4,
11,12355,4,Normal,38,1,1,1,0,19,19,3,3,20,0,2,2,0,0,0,18,0,0,0,0,28,0,2,0,1,1,4,
11,12355,5,Normal,34,4,4,4,0,19,43,3,5,80,0,2,3,4,0,0,17,0,0,0,0,112,0,14,0,1,1,4,+1 levelup
11,12355,6,Normal,38,1,1,1,0,43,34,5,5,20,0,3,3,0,0,0,17,0,0,0,0,28,9,2,0,1,1,4,
11,12355,7,Normal,34,5,5,5,0,34,18,5,5,100,0,3,3,2,0,0,15,0,0,0,0,140,16,19,0,1,1,4,
11,12355,8,Normal,28,5,5,5,0,18,20,5,5,100,0,3,3,4,0,0,11,0,0,0,0,140,-2,19,0,1,1,4,
11,12355,9,Normal,35,2,2,2,0,20,25,5,5,40,0,3,3,2,0,0,9,0,0,0,0,56,-5,7,0,1,1,4,
11,12355,10,Normal,29,4,4,4,0,25,21,5,7,80,0,3,4,4,0,0,5,0,0,0,0,112,12,21,0,1,1,4,+1 levelup
12,12356,1,Normal,38,4,4,4,0,27,27,0,0,80,0,1,1,4,8,1,15,3,3,0,0,112,0,19,0,1,1,5,floor1_town
12,12356,2,Normal,37,4,4,4,0,27,36,0,3,80,0,1,2,3,3,1,15,0,2,0,0,112,0,14,0,1,1,5,+1 levelup
12,12356,3,Normal,35,7,7,7,0,36,43,3,6,140,0,2,3,8,0,2,10,0,0,0,0,196,0,35,0,1,1,5,+1 levelup
12,12356,4,Normal,39,4,4,4,0,43,42,6,6,80,0,3,3,2,0,0,11,0,0,0,0,112,1,12,0,1,1,5,
12,12356,5,Normal,28,2,2,2,0,42,24,6,6,40,0,3,3,0,0,0,14,0,0,0,0,56,18,5,0,1,1,5,
12,12356,6,Normal,25,3,3,3,0,24,34,6,6,60,0,3,3,1,0,0,13,0,0,0,0,84,-10,7,0,1,1,5,
12,12356,7,Normal,25,2,2,2,0,34,43,6,6,40,0,3,3,1,0,0,12,0,0,0,0,56,-9,4,0,1,1,5,
12,12356,8,Normal,37,2,2,2,0,43,41,6,6,40,0,3,3,1,0,0,11,0,0,0,0,56,2,7,0,1,1,5,
12,12356,9,Normal,36,4,4,4,0,41,30,6,8,80,0,3,4,2,0,0,9,0,0,0,0,112,42,17,0,1,1,5,+1 levelup
12,12356,10,Normal,40,5,5,5,0,30,29,8,8,100,0,4,4,1,0,0,8,0,0,0,0,140,1,9,0,1,1,5,
13,12357,1,Normal,30,3,3,3,0,27,27,0,0,60,0,1,1,2,7,0,15,3,3,0,0,84,0,17,0,1,1,4,floor1_town
13,12357,2,Normal,37,1,1,1,0,27,27,0,0,20,0,1,1,0,2,0,18,1,3,0,0,28,0,6,0,1,1,4,
13,12357,3,Normal,37,6,6,6,0,27,24,0,2,120,0,1,2,3,1,3,18,0,0,0,0,168,11,17,0,1,1,4,+1 levelup
13,12357,4,Normal,38,4,4,4,0,24,24,2,2,80,0,2,2,4,0,0,17,0,0,0,0,112,0,14,0,1,1,4,
13,12357,5,Normal,32,4,4,4,0,24,42,2,4,80,0,2,3,3,0,0,17,0,0,0,0,112,0,14,0,1,1,4,+1 levelup
13,12357,6,Normal,32,3,3,3,0,42,28,4,4,60,0,3,3,2,0,0,15,0,0,0,0,84,14,12,0,1,1,4,
13,12357,7,Normal,40,3,3,3,0,28,20,4,4,60,0,3,3,1,0,0,14,0,0,0,0,84,8,8,0,1,1,4,
13,12357,8,Normal,38,2,2,2,0,20,33,4,4,40,0,3,3,2,0,0,12,0,0,0,0,56,-13,7,0,1,1,4,
13,12357,9,Normal,27,4,4,4,0,33,49,4,6,80,0,3,4,2,0,0,10,0,0,0,0,112,0,13,0,1,1,4,+1 levelup
13,12357,10,Normal,27,3,3,3,0,49,32,6,6,60,0,4,4,1,0,0,9,0,0,0,0,84,17,9,0,1,1,4,
14,12358,1,Normal,38,1,1,1,0,27,27,0,0,20,0,1,1,3,1,0,15,3,3,0,0,28,0,6,0,1,1,2,floor1_town
14,12358,2,Normal,32,4,4,4,0,27,35,0,1,80,0,1,2,3,3,3,15,0,0,0,0,112,12,20,0,1,1,2,+1 levelup
14,12358,3,Normal,38,4,4,4,0,35,24,1,1,80,0,2,2,2,0,0,16,0,0,0,0,112,11,11,0,1,1,2,
14,12358,4,Normal,32,3,3,3,0,24,24,1,1,60,0,2,2,4,0,0,15,0,0,0,0,84,0,14,0,1,1,2,
14,12358,5,Normal,35,5,5,5,0,24,42,1,3,100,0,2,3,4,0,0,14,0,0,0,0,140,0,18,0,1,1,2,+1 levelup
14,12358,6,Normal,35,0,0,0,0,42,42,3,3,0,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,1,1,2,
14,12358,7,Normal,31,6,6,6,0,42,33,3,3,120,0,3,3,4,0,0,10,0,0,0,0,168,9,23,0,1,1,2,
14,12358,8,Normal,37,4,4,4,0,33,24,3,3,80,0,3,3,2,0,0,8,0,0,0,0,112,9,17,0,1,1,2,
14,12358,9,Normal,31,3,3,3,0,24,50,3,5,60,0,3,4,2,0,0,6,0,0,0,0,84,5,13,0,1,1,2,+1 levelup
14,12358,10,Normal,28,3,3,3,0,50,27,5,5,60,0,4,4,0,0,0,6,0,0,0,0,84,23,8,0,1,1,2,
15,12359,1,Normal,31,3,3,3,0,27,27,0,0,60,0,1,1,3,9,4,15,3,3,0,0,84,0,19,0,1,1,4,floor1_town
15,12359,2,Normal,37,3,3,3,0,27,23,0,2,60,0,1,2,0,3,3,18,0,0,0,0,84,12,14,0,1,1,4,+1 levelup
15,12359,3,Normal,29,3,3,2,0,23,0,2,2,40,0,2,2,2,0,0,19,0,0,0,0,74,23,7,1,0,0,4,party wiped
16,12360,1,Normal,39,3,3,3,0,27,27,0,0,60,0,1,1,4,7,0,15,3,3,0,0,84,0,17,0,1,1,4,floor1_town
16,12360,2,Normal,25,4,4,3,0,27,0,0,2,60,0,1,2,4,3,3,14,0,0,0,0,108,35,22,1,0,0,4,party wiped; +1 levelup
17,12361,1,Normal,31,5,5,5,0,27,35,0,2,100,0,1,2,4,12,3,15,3,3,0,0,140,0,26,0,1,1,6,floor1_town; +1 levelup
17,12361,2,Normal,39,5,5,5,0,35,23,2,2,100,0,2,2,4,3,3,14,0,0,0,0,140,12,25,0,1,1,6,
17,12361,3,Normal,31,2,2,2,0,23,23,2,2,40,0,2,2,1,0,0,16,0,0,0,0,56,0,6,0,1,1,6,
17,12361,4,Normal,29,3,3,2,0,23,0,2,2,40,0,2,2,2,0,0,17,0,0,0,0,68,23,12,1,0,0,6,party wiped
18,12362,1,Normal,40,4,4,4,0,27,27,0,0,80,0,1,1,4,6,0,15,3,3,0,0,112,0,16,0,1,1,5,floor1_town
18,12362,2,Normal,32,2,2,2,0,27,34,0,1,40,0,1,2,3,3,1,15,0,2,0,0,56,0,10,0,1,1,5,+1 levelup
18,12362,3,Normal,27,3,3,3,0,34,22,1,1,60,0,2,2,4,0,2,14,0,0,0,0,84,12,15,0,1,1,5,
18,12362,4,Normal,37,4,4,4,0,22,34,1,1,80,0,2,2,5,0,0,12,0,0,0,0,112,-12,16,0,1,1,5,
18,12362,5,Normal,36,4,4,4,0,34,26,1,3,80,0,2,3,3,0,0,12,0,0,0,0,112,25,14,0,1,1,5,+1 levelup
18,12362,6,Normal,30,4,4,4,0,26,31,3,3,80,0,3,3,4,0,0,8,0,0,0,0,112,-5,15,0,1,1,5,
18,12362,7,Normal,26,4,4,4,0,31,20,3,3,80,0,3,3,1,0,0,7,0,0,0,0,112,11,8,0,1,1,5,
18,12362,8,Normal,35,6,6,6,0,20,35,3,4,120,0,3,4,2,0,0,5,0,0,0,0,168,14,15,0,1,1,5,+1 levelup
18,12362,9,Normal,25,2,2,2,0,35,39,4,4,40,0,4,4,2,0,0,3,0,0,0,0,56,-4,8,0,1,1,5,
18,12362,10,Normal,36,5,5,5,0,39,47,4,4,100,0,4,4,2,0,0,1,0,0,0,0,140,-8,13,0,1,1,5,
19,12363,1,Normal,32,1,1,1,0,27,27,0,0,20,0,1,1,1,3,2,15,3,3,0,0,28,0,8,0,1,1,2,floor1_town
19,12363,2,Normal,38,3,3,3,0,27,27,0,0,60,0,1,1,3,3,3,15,0,0,0,0,84,0,17,0,1,1,2,
19,12363,3,Normal,31,2,2,2,0,27,35,0,2,40,0,1,2,1,0,0,17,0,0,0,0,56,12,7,0,1,1,2,+1 levelup
19,12363,4,Normal,36,2,2,2,0,35,35,2,2,40,0,2,2,4,0,0,16,0,0,0,0,56,0,15,0,1,1,2,
19,12363,5,Normal,34,5,5,5,0,35,35,2,2,100,0,2,2,6,0,0,13,0,0,0,0,140,0,24,0,1,1,2,
19,12363,6,Normal,35,1,1,1,0,35,35,2,2,20,0,2,2,1,0,0,12,0,0,0,0,28,0,3,0,1,1,2,
19,12363,7,Normal,27,3,3,3,0,35,43,2,4,60,0,2,3,1,0,0,11,0,0,0,0,84,19,9,0,1,1,2,+1 levelup
19,12363,8,Normal,26,3,3,3,0,43,30,4,4,60,0,3,3,3,0,0,8,0,0,0,0,84,13,14,0,1,1,2,
19,12363,9,Normal,31,3,3,3,0,30,43,4,4,60,0,3,3,2,0,0,6,0,0,0,0,84,-13,9,0,1,1,2,
19,12363,10,Normal,25,4,4,4,0,43,34,4,4,80,0,3,3,3,0,0,3,0,0,0,0,112,9,14,0,1,1,2,
20,12364,1,Normal,40,6,6,6,0,27,35,0,2,120,0,1,2,4,13,2,15,3,3,0,0,168,0,30,0,1,1,7,floor1_town; +1 levelup
20,12364,2,Normal,37,5,5,5,0,35,35,2,2,100,0,2,2,1,3,3,17,0,0,0,0,140,0,14,0,1,1,7,
20,12364,3,Normal,30,2,2,1,0,35,0,2,2,20,0,2,2,0,0,0,20,0,0,0,0,47,35,6,1,0,0,7,party wiped
21,12365,1,Normal,33,4,4,4,0,27,27,0,0,80,0,1,1,4,10,6,15,3,3,0,0,112,0,30,0,1,1,5,floor1_town
21,12365,2,Normal,28,3,3,3,0,27,34,0,2,60,0,1,2,1,3,3,17,0,0,0,0,84,0,14,0,1,1,5,+1 levelup
21,12365,3,Normal,29,5,5,5,0,34,23,2,2,100,0,2,2,7,0,0,13,0,0,0,0,140,11,23,0,1,1,5,
21,12365,4,Normal,33,3,3,3,0,23,43,2,5,60,0,2,3,5,0,0,11,0,0,0,0,84,-11,12,0,1,1,5,+1 levelup
21,12365,5,Normal,38,4,4,4,0,43,27,5,5,80,0,3,3,2,0,0,12,0,0,0,0,112,16,15,0,1,1,5,
21,12365,6,Normal,36,5,5,5,0,27,34,5,5,100,0,3,3,3,0,0,9,0,0,0,0,140,-7,16,0,1,1,5,
21,12365,7,Normal,28,2,2,2,0,34,18,5,5,40,0,3,3,2,0,0,7,0,0,0,0,56,16,11,0,1,1,5,
21,12365,8,Normal,28,3,3,3,0,18,34,5,5,60,0,3,3,3,0,0,4,0,0,0,0,84,-16,13,0,1,1,5,
21,12365,9,Normal,37,4,4,4,0,34,51,5,6,80,0,3,4,2,0,0,2,0,0,0,0,112,-9,12,0,1,1,5,+1 levelup
21,12365,10,Normal,28,2,2,2,0,51,44,6,6,40,0,4,4,1,0,0,1,0,0,0,0,56,7,7,0,1,1,5,
22,12366,1,Normal,25,3,3,3,0,27,27,0,0,60,0,1,1,2,9,5,15,3,3,0,0,84,12,22,0,1,1,4,floor1_town
22,12366,2,Normal,31,2,2,2,0,27,36,0,2,40,0,1,2,3,2,0,15,1,3,0,0,56,0,9,0,1,1,4,+1 levelup
22,12366,3,Normal,31,2,2,2,0,36,24,2,2,40,0,2,2,2,1,3,16,0,0,0,0,56,12,13,0,1,1,4,
22,12366,4,Normal,31,5,5,5,0,24,36,2,2,100,0,2,2,5,0,0,14,0,0,0,0,140,-12,21,0,1,1,4,
22,12366,5,Normal,33,1,1,1,0,36,27,2,2,20,0,2,2,0,0,0,17,0,0,0,0,28,9,5,0,1,1,4,
22,12366,6,Normal,36,2,2,2,0,27,44,2,5,40,0,2,3,2,0,0,15,0,0,0,0,56,-9,6,0,1,1,4,+1 levelup
22,12366,7,Normal,38,2,2,2,0,44,30,5,5,40,0,3,3,1,0,0,14,0,0,0,0,56,14,6,0,1,1,4,
22,12366,8,Normal,36,3,3,3,0,30,30,5,5,60,0,3,3,1,0,0,13,0,0,0,0,84,0,7,0,1,1,4,
22,12366,9,Normal,35,4,4,4,0,30,44,5,5,80,0,3,3,3,0,0,10,0,0,0,0,112,-14,13,0,1,1,4,
22,12366,10,Normal,26,3,3,3,0,44,23,5,5,60,0,3,3,2,0,0,8,0,0,0,0,84,21,12,0,1,1,4,
23,12367,1,Normal,33,2,2,2,0,27,27,0,0,40,0,1,1,0,5,3,15,3,3,0,0,56,0,11,0,1,1,3,floor1_town
23,12367,2,Normal,35,3,3,2,0,27,0,0,0,40,0,1,1,2,3,3,16,0,0,0,0,65,27,13,1,0,0,3,party wiped
24,12368,1,Normal,26,3,3,3,0,27,27,0,0,60,0,1,1,4,6,1,15,3,3,0,0,84,0,16,0,1,1,4,floor1_town
24,12368,2,Normal,21,2,2,1,0,27,0,0,0,20,0,1,1,1,3,3,17,0,0,0,0,51,27,13,1,0,0,4,party wiped
25,12369,1,Normal,34,4,4,4,0,27,27,0,0,80,0,1,1,5,10,1,15,3,3,0,0,112,0,24,0,1,1,5,floor1_town
25,12369,2,Normal,32,4,4,4,0,27,35,0,2,80,0,1,2,4,3,3,14,0,0,0,0,112,0,17,0,1,1,5,+1 levelup
25,12369,3,Normal,34,4,4,4,0,35,35,2,2,80,0,2,2,4,0,0,13,0,0,0,0,112,0,14,0,1,1,5,
25,12369,4,Normal,38,5,5,5,0,35,25,2,5,100,0,2,3,3,0,0,13,0,0,0,0,140,18,18,0,1,1,5,+1 levelup
25,12369,5,Normal,31,4,4,4,0,25,43,5,5,80,0,3,3,6,0,0,10,0,0,0,0,112,-18,25,0,1,1,5,
25,12369,6,Normal,26,4,4,4,0,43,20,5,5,80,0,3,3,5,0,0,5,0,0,0,0,112,23,24,0,1,1,5,
25,12369,7,Normal,30,1,1,1,0,20,34,5,5,20,0,3,3,1,0,0,4,0,0,0,0,28,-14,5,0,1,1,5,
25,12369,8,Normal,33,3,3,3,0,34,43,5,5,60,0,3,3,3,0,0,1,0,0,0,0,84,-9,14,0,1,1,5,
25,12369,9,Normal,28,3,3,2,1,43,14,5,7,40,0,3,4,1,0,0,0,0,0,0,0,56,52,15,0,1,1,5,+1 levelup; flee×1
25,12369,10,Normal,21,3,3,0,2,14,0,7,7,0,0,4,4,0,0,0,0,0,0,0,0,17,14,2,1,0,0,5,party wiped; flee×2
26,12370,1,Normal,27,3,3,3,0,27,27,0,0,60,0,1,1,3,8,0,15,3,3,0,0,84,0,15,0,1,1,4,floor1_town
26,12370,2,Normal,38,4,4,4,0,27,36,0,2,80,0,1,2,4,3,3,14,0,0,0,0,112,0,21,0,1,1,4,+1 levelup
26,12370,3,Normal,37,6,6,6,0,36,28,2,2,120,0,2,2,9,0,0,8,0,0,0,0,168,8,31,0,1,1,4,
26,12370,4,Normal,31,4,4,4,0,28,25,2,5,80,0,2,3,3,0,0,8,0,0,0,0,112,23,17,0,1,1,4,+1 levelup
26,12370,5,Normal,40,6,6,6,0,25,22,5,5,120,0,3,3,5,0,0,6,0,0,0,0,168,3,23,0,1,1,4,
26,12370,6,Normal,30,4,4,4,0,22,36,5,5,80,0,3,3,3,0,0,3,0,0,0,0,112,-14,15,0,1,1,4,
26,12370,7,Normal,33,3,3,3,0,36,53,5,8,60,0,3,4,1,0,0,2,0,0,0,0,84,0,8,0,1,1,4,+1 levelup
26,12370,8,Normal,33,4,4,4,0,53,52,8,8,80,0,4,4,2,0,0,0,0,0,0,0,112,1,12,0,1,1,4,
26,12370,9,Normal,37,4,4,4,0,52,13,8,8,80,0,4,4,0,0,0,0,0,0,0,0,112,39,10,0,1,1,4,
26,12370,10,Normal,28,3,3,1,2,13,13,8,8,20,0,4,4,0,0,0,0,0,0,0,0,28,0,2,0,1,1,4,flee×2
27,12371,1,Normal,35,4,4,4,0,27,27,0,0,80,0,1,1,3,9,1,15,3,3,0,0,112,0,19,0,1,1,5,floor1_town
