run_id,seed,floor,floor_type,steps_moved,encounters,battles,battles_won,battles_fled,hp_before,hp_after,mp_before,mp_after,xp_gained,gold_gained,level_before,level_after,medicinal_herb_use_count,potion_use_count,dawn_chalice_use_count,medicinal_herb_remain_after,potion_remain_after,chalice_remain_after,skill_use_count,recovery_skill_use_count,total_damage_dealt,total_damage_taken,total_battle_turns,death_flag,clear_flag,next_floor_flag,notes
27,12371,1,Normal,35,5,5,5,0,27,19,0,0,25,0,1,1,3,3,3,0,0,0,0,0,140,8,24,0,1,1,
27,12371,2,Normal,12,1,1,0,0,19,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,27,19,6,1,0,0,party wiped
28,12372,1,Normal,18,2,2,1,0,27,0,0,0,5,0,1,1,3,3,0,0,0,3,0,0,46,27,12,1,0,0,party wiped
29,12373,1,Normal,30,2,2,1,0,27,0,0,0,5,0,1,1,3,3,0,0,0,3,0,0,46,27,16,1,0,0,party wiped
30,12374,1,Normal,2,1,1,0,0,27,0,0,0,0,0,1,1,1,0,0,2,3,3,0,0,0,27,3,1,0,0,party wiped
31,12375,1,Normal,5,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,18,27,3,1,0,0,party wiped
32,12376,1,Normal,3,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,14,27,2,1,0,0,party wiped
33,12377,1,Normal,37,4,4,4,0,27,21,0,0,20,0,1,1,3,3,3,0,0,0,0,0,112,6,22,0,1,1,
33,12377,2,Normal,17,2,2,1,0,21,0,0,0,5,0,1,1,3,0,0,0,0,0,0,0,46,21,9,1,0,0,party wiped
34,12378,1,Normal,16,1,1,0,0,27,0,0,0,0,0,1,1,2,0,0,1,3,3,0,0,23,27,6,1,0,0,party wiped
35,12379,1,Normal,21,2,2,1,0,27,0,0,0,5,0,1,1,1,0,0,2,3,3,0,0,55,27,9,1,0,0,party wiped
36,12380,1,Normal,10,1,1,0,0,27,0,0,0,0,0,1,1,1,0,0,2,3,3,0,0,9,27,3,1,0,0,party wiped
37,12381,1,Normal,29,5,5,4,0,27,0,0,0,20,0,1,1,3,3,3,0,0,0,0,0,128,27,26,1,0,0,party wiped
38,12382,1,Normal,16,2,2,1,0,27,0,0,0,5,0,1,1,3,1,0,0,2,3,0,0,55,27,12,1,0,0,party wiped
39,12383,1,Normal,27,3,3,2,0,27,0,0,0,10,0,1,1,3,0,0,0,3,3,0,0,74,27,11,1,0,0,party wiped
40,12384,1,Normal,2,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,18,27,3,1,0,0,party wiped
41,12385,1,Normal,3,1,1,0,0,27,0,0,0,0,0,1,1,1,0,0,2,3,3,0,0,27,27,4,1,0,0,party wiped
42,12386,1,Normal,1,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,18,27,2,1,0,0,party wiped
43,12387,1,Normal,2,1,1,0,0,27,0,0,0,0,0,1,1,1,0,0,2,3,3,0,0,18,27,4,1,0,0,party wiped
44,12388,1,Normal,33,2,2,2,0,27,15,0,0,10,0,1,1,2,0,0,1,3,3,0,0,56,12,8,0,1,1,
44,12388,2,Normal,2,1,1,0,0,15,0,0,0,0,0,1,1,1,0,0,3,3,3,0,0,27,15,4,1,0,0,party wiped
45,12389,1,Normal,25,2,2,2,0,27,27,0,0,10,0,1,1,3,1,0,0,2,3,0,0,56,0,10,0,1,1,
45,12389,2,Normal,3,1,1,0,0,27,0,0,0,0,0,1,1,3,0,0,0,2,3,0,0,14,27,5,1,0,0,party wiped
46,12390,1,Normal,24,4,4,3,0,27,0,0,0,15,0,1,1,3,2,0,0,1,3,0,0,84,27,19,1,0,0,party wiped
47,12391,1,Normal,5,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,9,27,2,1,0,0,party wiped
48,12392,1,Normal,34,1,1,1,0,27,15,0,0,5,0,1,1,2,0,0,1,3,3,0,0,28,12,6,0,1,1,
48,12392,2,Normal,26,2,2,2,0,15,15,0,0,10,0,1,1,3,0,0,1,3,3,0,0,56,0,8,0,1,1,
48,12392,3,Normal,7,2,2,1,0,15,0,0,0,5,0,1,1,2,0,0,2,3,3,0,0,46,15,10,1,0,0,party wiped
49,12393,1,Normal,27,1,1,1,0,27,27,0,0,5,0,1,1,3,0,0,0,3,3,0,0,28,0,6,0,1,1,
49,12393,2,Normal,28,3,3,2,0,27,0,0,0,10,0,1,1,3,0,0,0,3,3,0,0,74,27,14,1,0,0,party wiped
50,12394,1,Normal,35,3,3,3,0,27,15,0,0,15,0,1,1,3,3,0,0,0,3,0,0,84,12,15,0,1,1,
50,12394,2,Normal,4,1,1,0,0,15,0,0,0,0,0,1,1,1,0,0,2,0,3,0,0,0,15,4,1,0,0,party wiped
51,12395,1,Normal,10,1,1,0,0,27,0,0,0,0,0,1,1,1,0,0,2,3,3,0,0,9,27,3,1,0,0,party wiped
52,12396,1,Normal,24,3,3,2,0,27,0,0,0,10,0,1,1,2,0,0,1,3,3,0,0,65,27,9,1,0,0,party wiped
53,12397,1,Normal,8,2,2,1,0,27,0,0,0,5,0,1,1,1,0,0,2,3,3,0,0,42,27,6,1,0,0,party wiped
54,12398,1,Normal,5,1,1,0,0,27,0,0,0,0,0,1,1,1,0,0,2,3,3,0,0,18,27,4,1,0,0,party wiped
55,12399,1,Normal,21,2,2,1,0,27,0,0,0,5,0,1,1,1,0,0,2,3,3,0,0,37,27,6,1,0,0,party wiped
56,12400,1,Normal,29,2,2,1,0,27,0,0,0,5,0,1,1,3,1,0,0,2,3,0,0,42,27,10,1,0,0,party wiped
57,12401,1,Normal,16,3,3,2,0,27,0,0,0,10,0,1,1,2,0,0,1,3,3,0,0,72,27,13,1,0,0,party wiped
58,12402,1,Normal,31,3,3,2,0,27,0,0,0,10,0,1,1,3,2,0,0,1,3,0,0,70,27,16,1,0,0,party wiped
59,12403,1,Normal,30,5,5,4,1,27,7,0,0,20,0,1,1,3,3,3,0,0,0,0,0,112,20,24,0,1,1,flee×1
59,12403,2,Normal,29,2,2,2,0,7,9,0,0,10,0,1,1,3,0,0,0,0,0,0,0,56,18,11,0,1,1,
59,12403,3,Normal,36,4,4,2,2,9,6,0,0,10,0,1,1,3,0,0,0,0,0,0,0,56,21,9,0,1,1,flee×2
59,12403,4,Normal,4,1,1,0,0,6,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,25,27,7,1,0,0,party wiped
60,12404,1,Normal,17,4,4,3,0,27,0,0,0,15,0,1,1,3,3,2,0,0,1,0,0,93,27,24,1,0,0,party wiped
61,12405,1,Normal,18,2,2,1,0,27,0,0,0,5,0,1,1,0,0,0,3,3,3,0,0,35,27,6,1,0,0,party wiped
62,12406,1,Normal,12,2,2,1,0,27,0,0,0,5,0,1,1,0,0,0,3,3,3,0,0,28,27,4,1,0,0,party wiped
63,12407,1,Normal,13,3,3,2,0,27,0,0,0,10,0,1,1,2,0,0,1,3,3,0,0,70,27,9,1,0,0,party wiped
64,12408,1,Normal,40,5,5,5,0,27,9,0,0,25,0,1,1,3,3,3,0,0,0,0,0,140,18,23,0,1,1,
64,12408,2,Normal,18,2,2,1,0,9,0,0,0,5,0,1,1,2,0,0,1,0,0,0,0,51,27,7,1,0,0,party wiped
65,12409,1,Normal,13,2,2,1,0,27,0,0,0,5,0,1,1,3,2,0,0,1,3,0,0,42,27,11,1,0,0,party wiped
66,12410,1,Normal,10,2,2,1,0,27,0,0,0,5,0,1,1,0,0,0,3,3,3,0,0,46,27,5,1,0,0,party wiped
67,12411,1,Normal,32,2,2,1,0,27,0,0,0,5,0,1,1,1,0,0,2,3,3,0,0,42,27,6,1,0,0,party wiped
68,12412,1,Normal,26,2,2,2,0,27,27,0,0,10,0,1,1,3,1,0,0,2,3,0,0,56,0,11,0,1,1,
68,12412,2,Normal,20,3,3,2,0,27,0,0,0,10,0,1,1,3,2,3,0,0,0,0,0,79,27,18,1,0,0,party wiped
69,12413,1,Normal,6,2,2,1,0,27,0,0,0,5,0,1,1,3,1,0,0,2,3,0,0,55,27,15,1,0,0,party wiped
70,12414,1,Normal,2,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,0,27,2,1,0,0,party wiped
71,12415,1,Normal,18,2,2,1,0,27,0,0,0,5,0,1,1,1,0,0,2,3,3,0,0,37,27,5,1,0,0,party wiped
72,12416,1,Normal,22,3,3,2,0,27,0,0,0,10,0,1,1,3,2,0,0,1,3,0,0,65,27,14,1,0,0,party wiped
73,12417,1,Normal,35,2,2,2,0,27,15,0,0,10,0,1,1,3,0,0,0,3,3,0,0,56,12,9,0,1,1,
73,12417,2,Normal,26,1,1,0,0,15,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,0,15,1,1,0,0,party wiped
74,12418,1,Normal,3,1,1,0,0,27,0,0,0,0,0,1,1,1,0,0,2,3,3,0,0,23,27,4,1,0,0,party wiped
75,12419,1,Normal,35,3,3,2,0,27,0,0,0,10,0,1,1,3,3,3,0,0,0,0,0,74,27,24,1,0,0,party wiped
76,12420,1,Normal,10,2,2,1,0,27,0,0,0,5,0,1,1,2,0,0,1,3,3,0,0,44,27,8,1,0,0,party wiped
77,12421,1,Normal,8,2,2,1,0,27,0,0,0,5,0,1,1,1,0,0,2,3,3,0,0,37,27,5,1,0,0,party wiped
78,12422,1,Normal,11,2,2,1,0,27,0,0,0,5,0,1,1,0,0,0,3,3,3,0,0,28,27,4,1,0,0,party wiped
79,12423,1,Normal,9,2,2,1,0,27,0,0,0,5,0,1,1,1,0,0,2,3,3,0,0,37,27,5,1,0,0,party wiped
80,12424,1,Normal,16,2,2,1,0,27,0,0,0,5,0,1,1,1,0,0,2,3,3,0,0,37,27,5,1,0,0,party wiped
81,12425,1,Normal,35,3,3,2,0,27,0,0,0,10,0,1,1,3,3,2,0,0,1,0,0,79,27,16,1,0,0,party wiped
82,12426,1,Normal,31,1,1,1,0,27,27,0,0,5,0,1,1,3,0,0,0,3,3,0,0,28,0,5,0,1,1,
82,12426,2,Normal,9,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,9,27,2,1,0,0,party wiped
83,12427,1,Normal,9,2,2,1,0,27,0,0,0,5,0,1,1,2,0,0,1,3,3,0,0,37,27,7,1,0,0,party wiped
84,12428,1,Normal,15,2,2,1,0,27,0,0,0,5,0,1,1,0,0,0,3,3,3,0,0,44,27,4,1,0,0,party wiped
85,12429,1,Normal,10,1,1,0,0,27,0,0,0,0,0,1,1,2,0,0,1,3,3,0,0,27,27,5,1,0,0,party wiped
86,12430,1,Normal,32,3,3,3,0,27,19,0,0,15,0,1,1,3,3,1,0,0,2,0,0,84,8,18,0,1,1,
86,12430,2,Normal,28,2,2,1,0,19,0,0,0,5,0,1,1,3,0,0,0,0,2,0,0,37,19,13,1,0,0,party wiped
87,12431,1,Normal,40,2,2,2,0,27,27,0,0,10,0,1,1,3,1,0,0,2,3,0,0,56,0,11,0,1,1,
87,12431,2,Normal,16,2,2,1,0,27,0,0,0,5,0,1,1,3,1,0,0,1,3,0,0,37,27,10,1,0,0,party wiped
88,12432,1,Normal,19,3,3,2,0,27,0,0,0,10,0,1,1,3,3,2,0,0,1,0,0,70,27,20,1,0,0,party wiped
89,12433,1,Normal,8,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,14,27,2,1,0,0,party wiped
90,12434,1,Normal,6,1,1,0,0,27,0,0,0,0,0,1,1,2,0,0,1,3,3,0,0,27,27,5,1,0,0,party wiped
91,12435,1,Normal,26,2,2,2,0,27,15,0,0,10,0,1,1,1,0,0,2,3,3,0,0,56,12,7,0,1,1,
91,12435,2,Normal,1,1,1,0,0,15,0,0,0,0,0,1,1,0,0,0,5,3,3,0,0,9,15,1,1,0,0,party wiped
92,12436,1,Normal,9,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,18,27,2,1,0,0,party wiped
93,12437,1,Normal,1,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,0,27,2,1,0,0,party wiped
94,12438,1,Normal,5,1,1,0,0,27,0,0,0,0,0,1,1,1,0,0,2,3,3,0,0,14,27,3,1,0,0,party wiped
95,12439,1,Normal,25,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,0,27,2,1,0,0,party wiped
96,12440,1,Normal,8,1,1,0,0,27,0,0,0,0,0,1,1,2,0,0,1,3,3,0,0,9,27,6,1,0,0,party wiped
97,12441,1,Normal,3,1,1,0,0,27,0,0,0,0,0,1,1,1,0,0,2,3,3,0,0,9,27,4,1,0,0,party wiped
98,12442,1,Normal,36,2,2,2,0,27,15,0,0,10,0,1,1,3,2,0,0,1,3,0,0,56,12,12,0,1,1,
98,12442,2,Normal,36,2,2,2,0,15,27,0,0,10,0,1,1,2,0,0,1,1,3,0,0,56,-12,8,0,1,1,
98,12442,3,Normal,11,2,2,1,0,27,0,0,0,5,0,1,1,1,0,0,3,1,3,0,0,37,27,7,1,0,0,party wiped
99,12443,1,Normal,24,3,3,2,0,27,0,0,0,10,0,1,1,2,0,0,1,3,3,0,0,83,27,9,1,0,0,party wiped
100,12444,1,Normal,7,2,2,1,0,27,0,0,0,5,0,1,1,0,0,0,3,3,3,0,0,28,27,5,1,0,0,party wiped
101,12445,1,Normal,29,3,3,2,0,27,0,0,0,10,0,1,1,1,0,0,2,3,3,0,0,65,27,9,1,0,0,party wiped
102,12446,1,Normal,3,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,23,27,3,1,0,0,party wiped
103,12447,1,Normal,29,3,3,2,0,27,0,0,0,10,0,1,1,3,1,0,0,2,3,0,0,65,27,14,1,0,0,party wiped
104,12448,1,Normal,8,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,14,27,2,1,0,0,party wiped
105,12449,1,Normal,8,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,9,27,2,1,0,0,party wiped
106,12450,1,Normal,39,3,3,2,0,27,0,0,0,10,0,1,1,3,2,0,0,1,3,0,0,63,27,15,1,0,0,party wiped
107,12451,1,Normal,3,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,23,27,3,1,0,0,party wiped
108,12452,1,Normal,40,4,4,4,0,27,6,0,0,20,0,1,1,3,3,3,0,0,0,0,0,112,21,20,0,1,1,
108,12452,2,Normal,23,4,4,3,0,6,0,0,0,15,0,1,1,3,0,0,0,0,0,0,0,93,27,13,1,0,0,party wiped
109,12453,1,Normal,21,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,14,27,2,1,0,0,party wiped
110,12454,1,Normal,1,1,1,0,0,27,0,0,0,0,0,1,1,3,1,0,0,2,3,0,0,18,27,8,1,0,0,party wiped
111,12455,1,Normal,9,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,18,27,2,1,0,0,party wiped
112,12456,1,Normal,25,2,2,2,0,27,27,0,0,10,0,1,1,2,0,0,1,3,3,0,0,56,0,7,0,1,1,
112,12456,2,Normal,14,2,2,1,0,27,0,0,0,5,0,1,1,1,0,0,3,3,3,0,0,37,27,7,1,0,0,party wiped
113,12457,1,Normal,15,2,2,1,0,27,0,0,0,5,0,1,1,2,0,0,1,3,3,0,0,51,27,8,1,0,0,party wiped
114,12458,1,Normal,26,1,1,1,0,27,15,0,0,5,0,1,1,2,0,0,1,3,3,0,0,28,12,7,0,1,1,
114,12458,2,Normal,9,2,2,1,0,15,0,0,0,5,0,1,1,2,0,0,2,3,3,0,0,28,15,5,1,0,0,party wiped
115,12459,1,Normal,16,1,1,0,0,27,0,0,0,0,0,1,1,2,0,0,1,3,3,0,0,23,27,8,1,0,0,party wiped
116,12460,1,Normal,3,1,1,0,0,27,0,0,0,0,0,1,1,1,0,0,2,3,3,0,0,18,27,4,1,0,0,party wiped
117,12461,1,Normal,35,3,3,3,0,27,27,0,0,15,0,1,1,3,1,0,0,2,3,0,0,84,0,12,0,1,1,
117,12461,2,Normal,12,2,2,1,0,27,0,0,0,5,0,1,1,2,0,0,1,2,3,0,0,28,27,9,1,0,0,party wiped
118,12462,1,Normal,28,3,3,2,0,27,0,0,0,10,0,1,1,3,3,0,0,0,3,0,0,56,27,20,1,0,0,party wiped
119,12463,1,Normal,4,1,1,0,0,27,0,0,0,0,0,1,1,1,0,0,2,3,3,0,0,18,27,6,1,0,0,party wiped
120,12464,1,Normal,28,3,3,3,0,27,18,0,0,15,0,1,1,3,1,0,0,2,3,0,0,84,9,15,0,1,1,
120,12464,2,Normal,27,1,1,1,0,18,27,0,0,5,0,1,1,2,0,0,1,2,3,0,0,28,-9,8,0,1,1,
120,12464,3,Normal,20,3,3,2,0,27,0,0,0,10,0,1,1,3,0,0,1,2,3,0,0,56,27,12,1,0,0,party wiped
121,12465,1,Normal,37,2,2,2,0,27,23,0,0,10,0,1,1,3,3,2,0,0,1,0,0,56,4,16,0,1,1,
121,12465,2,Normal,17,2,2,1,0,23,0,0,0,5,0,1,1,2,0,0,1,0,1,0,0,46,23,7,1,0,0,party wiped
122,12466,1,Normal,29,2,2,2,0,27,27,0,0,10,0,1,1,3,1,0,0,2,3,0,0,56,0,10,0,1,1,
122,12466,2,Normal,1,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,2,3,0,0,14,27,3,1,0,0,party wiped
123,12467,1,Normal,6,2,2,1,0,27,0,0,0,5,0,1,1,3,0,0,0,3,3,0,0,46,27,8,1,0,0,party wiped
124,12468,1,Normal,13,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,9,27,2,1,0,0,party wiped
125,12469,1,Normal,29,2,2,1,0,27,0,0,0,5,0,1,1,2,0,0,1,3,3,0,0,37,27,7,1,0,0,party wiped
126,12470,1,Normal,2,1,1,0,0,27,0,0,0,0,0,1,1,3,3,0,0,0,3,0,0,27,27,15,1,0,0,party wiped
127,12471,1,Normal,29,6,6,5,0,27,0,0,0,25,0,1,1,3,3,3,0,0,0,0,0,167,27,28,1,0,0,party wiped
128,12472,1,Normal,4,1,1,0,0,27,0,0,0,0,0,1,1,1,0,0,2,3,3,0,0,9,27,3,1,0,0,party wiped
129,12473,1,Normal,39,2,2,2,0,27,15,0,0,10,0,1,1,3,2,0,0,1,3,0,0,56,12,11,0,1,1,
129,12473,2,Normal,4,1,1,0,0,15,0,0,0,0,0,1,1,0,0,0,3,1,3,0,0,9,15,1,1,0,0,party wiped
130,12474,1,Normal,32,5,5,5,0,27,27,0,0,25,0,1,1,3,1,0,0,2,3,0,0,140,0,16,0,1,1,
130,12474,2,Normal,14,3,3,2,0,27,0,0,0,10,0,1,1,3,2,3,0,0,0,0,0,74,27,17,1,0,0,party wiped
131,12475,1,Normal,28,2,2,1,0,27,0,0,0,5,0,1,1,3,0,0,0,3,3,0,0,46,27,10,1,0,0,party wiped
132,12476,1,Normal,17,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,3,3,0,0,9,27,3,1,0,0,party wiped
133,12477,1,Normal,25,2,2,2,0,27,27,0,0,10,0,1,1,2,0,0,1,3,3,0,0,56,0,8,0,1,1,
133,12477,2,Normal,5,1,1,0,0,27,0,0,0,0,0,1,1,1,0,0,3,3,3,0,0,18,27,4,1,0,0,party wiped
134,12478,1,Normal,14,2,2,1,0,27,0,0,0,5,0,1,1,2,0,0,1,3,3,0,0,55,27,7,1,0,0,party wiped
135,12479,1,Normal,26,2,2,2,0,27,27,0,0,10,0,1,1,2,0,0,1,3,3,0,0,56,0,6,0,1,1,
135,12479,2,Normal,32,1,1,1,0,27,15,0,0,5,0,1,1,1,0,0,3,3,3,0,0,28,12,5,0,1,1,
135,12479,3,Normal,31,3,3,3,0,15,27,0,0,15,0,1,1,5,0,0,1,3,3,0,0,84,-12,13,0,1,1,
135,12479,4,Normal,26,3,3,3,0,27,15,0,0,15,0,1,1,4,2,0,0,1,3,0,0,84,12,16,0,1,1,
135,12479,5,Normal,26,3,3,2,0,15,0,0,0,10,0,1,1,3,1,3,0,0,0,0,0,65,15,18,1,0,0,party wiped
136,12480,1,Normal,8,2,2,1,0,27,0,0,0,5,0,1,1,3,2,0,0,1,3,0,0,37,27,11,1,0,0,party wiped
137,12481,1,Normal,6,1,1,0,0,27,0,0,0,0,0,1,1,2,0,0,1,3,3,0,0,9,27,6,1,0,0,party wiped
138,12482,1,Normal,28,4,4,3,0,27,0,0,0,15,0,1,1,3,3,3,0,0,0,0,0,107,27,22,1,0,0,party wiped
139,12483,1,Normal,27,3,3,3,0,27,27,0,0,15,0,1,1,3,2,0,0,1,3,0,0,84,0,18,0,1,1,
139,12483,2,Normal,2,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,1,3,0,0,9,27,2,1,0,0,party wiped
140,12484,1,Normal,35,3,3,3,0,27,27,0,0,15,0,1,1,3,2,0,0,1,3,0,0,84,0,13,0,1,1,
140,12484,2,Normal,40,5,5,3,2,27,1,0,0,15,0,1,1,3,1,3,0,0,0,0,0,84,26,14,0,1,1,flee×2
140,12484,3,Normal,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,23,27,3,1,0,0,party wiped
141,12485,1,Normal,5,2,2,1,0,27,0,0,0,5,0,1,1,3,2,0,0,1,3,0,0,37,27,11,1,0,0,party wiped
142,12486,1,Normal,13,2,2,1,0,27,0,0,0,5,0,1,1,1,0,0,2,3,3,0,0,51,27,6,1,0,0,party wiped
143,12487,1,Normal,2,1,1,0,0,27,0,0,0,0,0,1,1,3,0,0,0,3,3,0,0,18,27,8,1,0,0,party wiped
144,12488,1,Normal,15,3,3,2,0,27,0,0,0,10,0,1,1,3,2,0,0,1,3,0,0,70,27,14,1,0,0,party wiped
145,12489,1,Normal,29,2,2,2,0,27,27,0,0,10,0,1,1,3,1,0,0,2,3,0,0,56,0,7,0,1,1,
