run_id,seed,floor,floor_type,steps_moved,encounters,battles,battles_won,hp_before,hp_after,mp_before,mp_after,xp_gained,gold_gained,level_before,level_after,potion_use_count,dawn_chalice_use_count,skill_use_count,recovery_skill_use_count,total_damage_dealt,total_damage_taken,total_battle_turns,death_flag,clear_flag,next_floor_flag,notes
3,12347,4,Normal,37,6,6,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle; fled battle
3,12347,5,Normal,27,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
3,12347,6,Normal,36,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
3,12347,7,Normal,25,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
3,12347,8,Normal,35,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
3,12347,9,NoPool,0,0,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
3,12347,10,Normal,40,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
4,12348,1,Normal,35,2,2,1,27,9,0,0,5,0,1,1,0,0,0,0,28,18,4,0,1,1,fled battle
4,12348,2,Normal,30,4,4,0,9,18,0,0,0,0,1,1,2,0,0,0,14,27,2,0,1,1,fled battle; fled battle; fled battle; fled battle
4,12348,3,Normal,30,4,4,0,18,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
4,12348,4,Normal,35,1,1,0,18,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle
4,12348,5,Normal,33,3,3,0,18,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
4,12348,6,Normal,25,2,2,0,18,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
4,12348,7,Normal,28,1,1,0,18,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle
4,12348,8,Normal,34,3,3,0,18,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
4,12348,9,NoPool,0,0,0,0,18,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
4,12348,10,Normal,37,3,3,0,18,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
5,12349,1,Normal,27,2,2,0,27,15,0,0,0,0,1,1,0,0,0,0,0,12,1,0,1,1,fled battle; fled battle
5,12349,2,Normal,40,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
5,12349,3,Normal,27,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
5,12349,4,Normal,39,6,6,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle; fled battle
5,12349,5,Normal,31,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
5,12349,6,Normal,33,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
5,12349,7,Normal,37,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
5,12349,8,Normal,30,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
5,12349,9,NoPool,0,0,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
5,12349,10,Normal,33,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
6,12350,1,Normal,35,3,3,0,27,15,0,0,0,0,1,1,0,0,0,0,0,12,1,0,1,1,fled battle; fled battle; fled battle
6,12350,2,Normal,27,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
6,12350,3,Normal,36,6,6,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle; fled battle
6,12350,4,Normal,37,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
6,12350,5,Normal,32,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
6,12350,6,Normal,30,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
6,12350,7,Normal,27,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
6,12350,8,Normal,32,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
6,12350,9,NoPool,0,0,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
6,12350,10,Normal,30,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
7,12351,1,Normal,28,4,4,0,27,13,0,0,0,0,1,1,0,0,0,0,0,14,1,0,1,1,fled battle; fled battle; fled battle; fled battle
7,12351,2,Normal,37,3,3,0,13,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
7,12351,3,Normal,27,3,3,0,13,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
7,12351,4,Normal,40,3,3,0,13,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
7,12351,5,Normal,30,3,3,0,13,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
7,12351,6,Normal,36,6,6,0,13,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle; fled battle
7,12351,7,Normal,35,4,4,0,13,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
7,12351,8,Normal,31,4,4,0,13,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
7,12351,9,NoPool,0,0,0,0,13,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
7,12351,10,Normal,38,4,4,0,13,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
8,12352,1,Normal,36,3,3,0,27,3,0,0,0,0,1,1,2,0,0,0,28,68,5,0,1,1,fled battle; fled battle; fled battle
8,12352,2,Normal,38,2,2,0,3,15,0,0,0,0,1,1,2,0,0,0,9,30,4,0,1,1,fled battle; fled battle
8,12352,3,Normal,39,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
8,12352,4,Normal,35,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
8,12352,5,Normal,28,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
8,12352,6,Normal,35,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
8,12352,7,Normal,25,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
8,12352,8,Normal,33,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
8,12352,9,NoPool,0,0,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
8,12352,10,Normal,31,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
9,12353,1,Normal,28,2,2,0,27,15,0,0,0,0,1,1,0,0,0,0,9,12,1,0,1,1,fled battle; fled battle
9,12353,2,Normal,39,6,6,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle; fled battle
9,12353,3,Normal,25,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
9,12353,4,Normal,37,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
9,12353,5,Normal,30,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
9,12353,6,Normal,32,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
9,12353,7,Normal,33,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
9,12353,8,Normal,38,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
9,12353,9,NoPool,0,0,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
9,12353,10,Normal,28,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
10,12354,1,Normal,37,3,3,0,27,15,0,0,0,0,1,1,0,0,0,0,9,12,1,0,1,1,fled battle; fled battle; fled battle
10,12354,2,Normal,28,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
10,12354,3,Normal,32,1,1,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle
10,12354,4,Normal,27,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
10,12354,5,Normal,37,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
10,12354,6,Normal,36,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
10,12354,7,Normal,39,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
10,12354,8,Normal,38,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
10,12354,9,NoPool,0,0,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
10,12354,10,Normal,25,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
11,12355,1,Normal,29,5,5,1,27,15,0,0,5,0,1,1,1,0,0,0,28,30,4,0,1,1,fled battle; fled battle; fled battle; fled battle
11,12355,2,Normal,34,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
11,12355,3,Normal,31,0,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,
11,12355,4,Normal,35,6,6,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle; fled battle
11,12355,5,Normal,26,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
11,12355,6,Normal,28,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
11,12355,7,Normal,40,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
11,12355,8,Normal,27,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
11,12355,9,NoPool,0,0,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
11,12355,10,Normal,28,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
12,12356,1,Normal,38,3,3,0,27,15,0,0,0,0,1,1,0,0,0,0,0,12,1,0,1,1,fled battle; fled battle; fled battle
12,12356,2,Normal,40,6,6,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle; fled battle
12,12356,3,Normal,27,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
12,12356,4,Normal,29,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
12,12356,5,Normal,32,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
12,12356,6,Normal,29,1,1,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle
12,12356,7,Normal,26,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
12,12356,8,Normal,33,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
12,12356,9,NoPool,0,0,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
12,12356,10,Normal,26,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
13,12357,1,Normal,30,4,4,0,27,15,0,0,0,0,1,1,0,0,0,0,0,12,1,0,1,1,fled battle; fled battle; fled battle; fled battle
13,12357,2,Normal,40,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
13,12357,3,Normal,39,6,6,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle; fled battle
13,12357,4,Normal,29,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
13,12357,5,Normal,26,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
13,12357,6,Normal,40,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
13,12357,7,Normal,33,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
13,12357,8,Normal,40,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
13,12357,9,NoPool,0,0,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
13,12357,10,Normal,27,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
14,12358,1,Normal,38,0,0,0,27,27,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,
14,12358,2,Normal,38,6,6,1,27,15,0,0,5,0,1,1,1,0,0,0,37,30,3,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
14,12358,3,Normal,33,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
14,12358,4,Normal,28,1,1,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle
14,12358,5,Normal,36,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
14,12358,6,Normal,26,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
14,12358,7,Normal,38,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
14,12358,8,Normal,35,6,6,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle; fled battle
14,12358,9,NoPool,0,0,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
14,12358,10,Normal,34,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
15,12359,1,Normal,31,4,4,0,27,15,0,0,0,0,1,1,1,0,0,0,9,30,2,0,1,1,fled battle; fled battle; fled battle; fled battle
15,12359,2,Normal,29,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
15,12359,3,Normal,38,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
15,12359,4,Normal,34,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
15,12359,5,Normal,37,1,1,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle
15,12359,6,Normal,40,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
15,12359,7,Normal,38,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
15,12359,8,Normal,25,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
15,12359,9,NoPool,0,0,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
15,12359,10,Normal,33,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
16,12360,1,Normal,39,5,5,0,27,15,0,0,0,0,1,1,1,0,0,0,7,30,3,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
16,12360,2,Normal,29,1,1,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle
16,12360,3,Normal,38,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
16,12360,4,Normal,38,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
16,12360,5,Normal,37,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
16,12360,6,Normal,39,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
16,12360,7,Normal,38,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
16,12360,8,Normal,27,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
16,12360,9,NoPool,0,0,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
16,12360,10,Normal,30,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
17,12361,1,Normal,31,3,3,0,27,15,0,0,0,0,1,1,0,0,0,0,9,12,1,0,1,1,fled battle; fled battle; fled battle
17,12361,2,Normal,34,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
17,12361,3,Normal,38,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
17,12361,4,Normal,40,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
17,12361,5,Normal,39,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
17,12361,6,Normal,26,1,1,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle
17,12361,7,Normal,38,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
17,12361,8,Normal,37,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
17,12361,9,NoPool,0,0,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
17,12361,10,Normal,32,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
18,12362,1,Normal,40,5,5,0,27,15,0,0,0,0,1,1,1,0,0,0,27,30,3,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
18,12362,2,Normal,35,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
18,12362,3,Normal,40,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
18,12362,4,Normal,27,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
18,12362,5,Normal,38,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
18,12362,6,Normal,40,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
18,12362,7,Normal,33,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
18,12362,8,Normal,38,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
18,12362,9,NoPool,0,0,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
18,12362,10,Normal,27,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
19,12363,1,Normal,32,1,1,0,27,15,0,0,0,0,1,1,0,0,0,0,0,12,1,0,1,1,fled battle
19,12363,2,Normal,32,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
19,12363,3,Normal,35,5,5,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
19,12363,4,Normal,27,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
19,12363,5,Normal,34,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
19,12363,6,Normal,32,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
19,12363,7,Normal,25,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
19,12363,8,Normal,25,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
19,12363,9,NoPool,0,0,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
19,12363,10,Normal,37,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
20,12364,1,Normal,40,5,5,0,27,15,0,0,0,0,1,1,0,0,0,0,9,12,2,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle
20,12364,2,Normal,38,6,6,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle; fled battle
20,12364,3,Normal,37,6,6,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle; fled battle
20,12364,4,Normal,29,3,3,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle
20,12364,5,Normal,32,2,2,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle
20,12364,6,Normal,38,6,6,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle; fled battle
20,12364,7,Normal,29,4,4,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle
20,12364,8,Normal,38,6,6,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,fled battle; fled battle; fled battle; fled battle; fled battle; fled battle
20,12364,9,NoPool,0,0,0,0,15,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
